ABDERA-191,Intermittent zero-length response when retrieving Service Document,https://issues.apache.org/jira/browse/ABDERA-191,,12310505,ABDERA,Abdera,Closed,Fixed,https://github.com/apache/abdera
ACE-481,SVN trunk does not compile,https://issues.apache.org/jira/browse/ACE-481,,12310931,ACE,ACE,Closed,Fixed,https://github.com/apache/ace
AMQCPP-209,Transaction Integration Tests for both Stomp and Openwire fail randomly,https://issues.apache.org/jira/browse/AMQCPP-209,,12311207,AMQCPP,ActiveMQ C++ Client,Resolved,Fixed,https://github.com/apache/activemq c++ client
AMQCPP-73,The JMSConsumerTest interminitently failed on linux systems.,https://issues.apache.org/jira/browse/AMQCPP-73,,12311207,AMQCPP,ActiveMQ C++ Client,Resolved,Fixed,https://github.com/apache/activemq c++ client
AMQCPP-90,Openwire Session doesn't run its MessageListeners from a single thread,https://issues.apache.org/jira/browse/AMQCPP-90,,12311207,AMQCPP,ActiveMQ C++ Client,Resolved,Fixed,https://github.com/apache/activemq c++ client
ARROW-10943,[Rust] Intermittent build failure in parquet encoding,https://issues.apache.org/jira/browse/ARROW-10943,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-14227,[R] Implement lubridate is.* methods,https://issues.apache.org/jira/browse/ARROW-14227,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-14708,[C++] Can't link to installed arrow_flight_static due to missing symbols in libarrow_bundled_dependencies,https://issues.apache.org/jira/browse/ARROW-14708,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-16405,[R][CI] Use nightlies.apache.org as dev repo,https://issues.apache.org/jira/browse/ARROW-16405,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-1705,[Python] Create StructArray from sequence of dicts given a known data type,https://issues.apache.org/jira/browse/ARROW-1705,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-17785,[Java] Flakiness in JDBC driver test ArrowFlightJdbcConnectionCookieTest.testCookies,https://issues.apache.org/jira/browse/ARROW-17785,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-2318,[C++] TestPlasmaStore.MultipleClientTest is flaky (hangs) in release builds,https://issues.apache.org/jira/browse/ARROW-2318,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-5447,[CI] [Ruby] CI is failed on AppVeyor,https://issues.apache.org/jira/browse/ARROW-5447,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-9043,[Go] Temporarily copy LICENSE.txt to go/,https://issues.apache.org/jira/browse/ARROW-9043,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ARROW-9484,[Docs] Update is* functions to be is_* in the compute docs,https://issues.apache.org/jira/browse/ARROW-9484,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
AWF-171,Rename package to org.apache.deft,https://issues.apache.org/jira/browse/AWF-171,,12313220,AWF,Apache AWF,Closed,Fixed,https://github.com/apache/apache awf
CMIS-898,Update test server URLs and increase test timeout value,https://issues.apache.org/jira/browse/CMIS-898,,12310936,CMIS,Chemistry (Retired),Resolved,Fixed,https://github.com/apache/chemistry (retired)
DIRSTUDIO-137,Eclipse 3.2 and LDap Studio schema creation cause flaky behavior of Eclipse.  Wallpaper and random frame corruption ensue.,https://issues.apache.org/jira/browse/DIRSTUDIO-137,,12310590,DIRSTUDIO,Directory Studio,Closed,Fixed,https://github.com/apache/directory studio
DIRSTUDIO-301,Intermittant ClassCastException from dom4j.DocumentFactory.getInstance(),https://issues.apache.org/jira/browse/DIRSTUDIO-301,,12310590,DIRSTUDIO,Directory Studio,Closed,Fixed,https://github.com/apache/directory studio
DIRSTUDIO-436,Eclipse Hangs on Startup,https://issues.apache.org/jira/browse/DIRSTUDIO-436,,12310590,DIRSTUDIO,Directory Studio,Closed,Fixed,https://github.com/apache/directory studio
FALCON-1005,In ProcessInstanceSuspendTest clean test dir after each method execution,https://issues.apache.org/jira/browse/FALCON-1005,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
