Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
IGNITE-10321,Bug in CacheContinuousWithTransformerReplicatedSelfTest.LocalEventListener causes certain tests to flak.,https://issues.apache.org/jira/browse/IGNITE-10321,MakeTeamcityGreenAgain,12315922,IGNITE,Ignite,Resolved,Fixed,https://github.com/apache/ignite
HBASE-18502,Change MasterObserver to use TableDescriptor and ColumnFamilyDescriptor,https://issues.apache.org/jira/browse/HBASE-18502,,12310753,HBASE,HBase,Resolved,Fixed,https://github.com/apache/hbase
AXIS-1984,WSDL2Java should use xml commons resolver to resolve xs:import/include URIs,https://issues.apache.org/jira/browse/AXIS-1984,,10460,AXIS,Axis,In Progress,,https://github.com/apache/axis
XERCESC-1150,XMLStringPool is not useful as a base class,https://issues.apache.org/jira/browse/XERCESC-1150,,10510,XERCESC,Xerces-C++,Closed,Fixed,https://github.com/apache/xerces-c++
ZEPPELIN-4723,Configure Security Features in Zeppelin to be enabled by default,https://issues.apache.org/jira/browse/ZEPPELIN-4723,security,12316221,ZEPPELIN,Zeppelin,Closed,Fixed,https://github.com/apache/zeppelin
HBASE-15549,Undo HMaster carrying regions in master branch as default,https://issues.apache.org/jira/browse/HBASE-15549,,12310753,HBASE,HBase,Resolved,Fixed,https://github.com/apache/hbase
HBASE-2863,HBASE-2553 removed an important edge case ,https://issues.apache.org/jira/browse/HBASE-2863,,12310753,HBASE,HBase,Closed,Fixed,https://github.com/apache/hbase
CAMEL-17000,Upgrade to junit 5.8.x,https://issues.apache.org/jira/browse/CAMEL-17000,,12311211,CAMEL,Camel,Resolved,Fixed,https://github.com/apache/camel
SUREFIRE-1584,Rerun Failing Tests with JUnit 5,https://issues.apache.org/jira/browse/SUREFIRE-1584,junit5,12317927,SUREFIRE,Maven Surefire,Closed,Fixed,https://github.com/apache/maven surefire
HDFS-6581,Write to single replica in memory,https://issues.apache.org/jira/browse/HDFS-6581,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
RATIS-1153,Implement ChannelInboundHandler.exceptionCaught in NettyServerStreamRpc,https://issues.apache.org/jira/browse/RATIS-1153,,12320820,RATIS,Ratis,Resolved,Fixed,https://github.com/apache/ratis
HADOOP-16794,S3A reverts KMS encryption to the bucket's default KMS key in rename/copy,https://issues.apache.org/jira/browse/HADOOP-16794,pull-request-available,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
IMPALA-10999,Flakiness in TestAsyncLoadData.test_async_load,https://issues.apache.org/jira/browse/IMPALA-10999,"broken-build, flaky-test",12321021,IMPALA,IMPALA,Resolved,Fixed,https://github.com/apache/impala
AXISCPP-672,WSDL2Ws fails when message has no parts,https://issues.apache.org/jira/browse/AXISCPP-672,,10461,AXISCPP,Axis-C++,Closed,Cannot Reproduce,https://github.com/apache/axis-c++
