Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
NIFI-10989,Intermittent Failures in TestHashContent,https://issues.apache.org/jira/browse/NIFI-10989,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
GEODE-4882,AnalyzeConnectorsSerializablesJUnitTest failing intermittently with CacheClosedException,https://issues.apache.org/jira/browse/GEODE-4882,pull-request-available,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
GEODE-3692,Intermittent test failure: ClientAuthDUnitTest,https://issues.apache.org/jira/browse/GEODE-3692,Ci,12318420,GEODE,Geode,Resolved,Cannot Reproduce,https://github.com/apache/geode
NIFI-9736,Intermittent Failures in TestRouteText Pattern Cache Method,https://issues.apache.org/jira/browse/NIFI-9736,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
SOLR-16991,Concurrent requests failing JWT Auth intermittently,https://issues.apache.org/jira/browse/SOLR-16991,,12310230,SOLR,Solr,Closed,Fixed,https://github.com/apache/solr
ZOOKEEPER-3222,Flaky: multiple intermittent segfaults in C++ tests,https://issues.apache.org/jira/browse/ZOOKEEPER-3222,pull-request-available,12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
METRON-2030,SensorParserGroupControllerIntegrationTest intermittent errors,https://issues.apache.org/jira/browse/METRON-2030,,12319323,METRON,Metron (Retired),Done,Done,https://github.com/apache/metron (retired)
NIFI-9841,Intermittent Failures in PasswordBasedEncryptorGroovyTest,https://issues.apache.org/jira/browse/NIFI-9841,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
REEF-1770,Intermittent failures of FailDriverTest.testFailDriverSuspendedTask,https://issues.apache.org/jira/browse/REEF-1770,,12315820,REEF,REEF (Retired),Closed,Fixed,https://github.com/apache/reef (retired)
FALCON-2337,FalconPostProcessingTest hangs intermittently,https://issues.apache.org/jira/browse/FALCON-2337,,12314429,FALCON,Falcon,Open,,https://github.com/apache/falcon
HDFS-706,Intermittent failures in TestFiHFlush,https://issues.apache.org/jira/browse/HDFS-706,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
ARROW-17252,[R] Intermittent valgrind failure,https://issues.apache.org/jira/browse/ARROW-17252,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
RATIS-1348,Intermittent failure in GrpcSslTest,https://issues.apache.org/jira/browse/RATIS-1348,,12320820,RATIS,Ratis,Resolved,Fixed,https://github.com/apache/ratis
APEXMALHAR-2357,JdbcPojoOperatorApplicationTest failing intermittently ,https://issues.apache.org/jira/browse/APEXMALHAR-2357,,12318824,APEXMALHAR,Apache Apex Malhar,Closed,Fixed,https://github.com/apache/apache apex malhar
GEODE-4915,ClusterConfigLocatorRestartDUnitTest fails intermittently,https://issues.apache.org/jira/browse/GEODE-4915,pull-request-available,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
LENS-368,TestResultFormatting.testPersistentResultWithMaxSize fails intermittently,https://issues.apache.org/jira/browse/LENS-368,,12315923,LENS,Apache Lens (Retired),Closed,Fixed,https://github.com/apache/apache lens (retired)
