[ RUN      ] CoordinatorTest.TruncateLearnedFill
I0318 17:39:20.028264  2065 replica.cpp:229] Opened db in 227.23ms
I0318 17:39:20.096964  2065 replica.cpp:236] Compacted db in 68.64ms
I0318 17:39:20.097054  2065 replica.cpp:252] Created db iterator in 6.13us
I0318 17:39:20.097496  2065 replica.cpp:258] Seeked to beginning of db in 1.22us
I0318 17:39:20.097874  2065 replica.cpp:309] Iterated through 0 keys in the db in 858.00ns
I0318 17:39:20.098372  2065 replica.cpp:1039] Replica recovered with log positions 0 -> 0 and holes { 0 } and unlearned {  }
I0318 17:39:20.307363  2065 replica.cpp:229] Opened db in 208.45ms
I0318 17:39:20.357430  2065 replica.cpp:236] Compacted db in 50.00ms
I0318 17:39:20.357481  2065 replica.cpp:252] Created db iterator in 4.31us
I0318 17:39:20.357892  2065 replica.cpp:258] Seeked to beginning of db in 1.19us
I0318 17:39:20.358299  2065 replica.cpp:309] Iterated through 0 keys in the db in 651.00ns
I0318 17:39:20.403089  2065 replica.cpp:1039] Replica recovered with log positions 0 -> 0 and holes { 0 } and unlearned {  }
I0318 17:39:20.432387  2065 coordinator.cpp:60] Coordinator attempting to get elected within 2.00secs
I0318 17:39:20.433293  2214 replica.cpp:776] Replica received implicit promise request for 1
I0318 17:39:20.433473  2210 replica.cpp:776] Replica received implicit promise request for 1
I0318 17:39:20.499164  2214 replica.cpp:353] Persisting promise (6 bytes) to leveldb took 65.82ms
I0318 17:39:20.499213  2214 replica.cpp:952] Persisted promise to 1
I0318 17:39:20.532687  2210 replica.cpp:353] Persisting promise (6 bytes) to leveldb took 46.42ms
I0318 17:39:20.532732  2210 replica.cpp:952] Persisted promise to 1
I0318 17:39:20.533433  2065 coordinator.cpp:114] Coordinator elected, attempting to fill missing positions
I0318 17:39:20.533707  2065 coordinator.cpp:395] Coordinator attempting to fill position 0 in the log
I0318 17:39:20.535804  2217 replica.cpp:704] Replica received explicit promise request for 1 for position 0
I0318 17:39:20.535907  2214 replica.cpp:704] Replica received explicit promise request for 1 for position 0
I0318 17:39:20.626976  2217 replica.cpp:384] Persisting action (8 bytes) to leveldb took 44.82ms
I0318 17:39:20.663772  2217 replica.cpp:967] Persisted action at 0
I0318 17:39:20.648195  2214 replica.cpp:384] Persisting action (8 bytes) to leveldb took 65.10ms
I0318 17:39:20.665281  2214 replica.cpp:967] Persisted action at 0
I0318 17:39:20.690657  2065 coordinator.cpp:225] Coordinator attempting to write NOP action at position 0 within 1.74secs
I0318 17:39:20.691447  2212 replica.cpp:807] Replica received write request for position 0
I0318 17:39:20.691551  2212 replica.cpp:469] Reading position from leveldb took 32.62us
I0318 17:39:20.735716  2212 replica.cpp:384] Persisting action (14 bytes) to leveldb took 43.83ms
I0318 17:39:20.735756  2212 replica.cpp:967] Persisted action at 0
