Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,OD,Accepted,https://github.com/abel533/Mapper/pull/838,https://github.com/TestingResearchIllinois/idoft/issues/90
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,OD,Accepted,https://github.com/abel533/Mapper/pull/838,https://github.com/TestingResearchIllinois/idoft/issues/90
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,OD,Accepted,https://github.com/abel533/Mapper/pull/838,https://github.com/TestingResearchIllinois/idoft/issues/90
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,OD,Accepted,https://github.com/abel533/Mapper/pull/838,https://github.com/TestingResearchIllinois/idoft/issues/90
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.engine.test.cfg.RetryInterceptorTest.testRetryInterceptor,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3488,
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.standalone.validation.DisabledSchemaValidationTest.testDisableValidation,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3487,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v1.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPageWithDeprecatedCaconfig,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPageWithDeprecatedCaconfig,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
https://github.com/alibaba/druid,ad05a9293b6be2d5562807698b215b673db0417a,utils,com.alibaba.druid.bvt.utils.JdbcUtilsTest.test_curd,ID,Accepted,https://github.com/alibaba/druid/pull/4717,
https://github.com/alibaba/easyexcel,756f16e42fbd7bc5c7fa18426cbc02fc81a42057,.,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t03SynchronousRead07,OD,Accepted,https://github.com/alibaba/easyexcel/pull/1684,
https://github.com/alibaba/easyexcel,756f16e42fbd7bc5c7fa18426cbc02fc81a42057,.,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t04SynchronousRead03,OD,Accepted,https://github.com/alibaba/easyexcel/pull/1684,
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1600.Issue1679.test_for_issue,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1900.Issue1977.test_for_issue,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_7,OD,Accepted,https://github.com/alibaba/fastjson/pull/3291,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,OD,Accepted,https://github.com/alibaba/fastjson/pull/3291,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.serializer.date.DateTest4_indian.test_date,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.serializer.date.DateTest5_iso8601.test_date,OD,Accepted,https://github.com/alibaba/fastjson/pull/2148,RepoArchived
