repo,sha,module,category,test,polluter,strategy,java,order_result,alone_result,observed,verdict,label_agrees,logs,note
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,OD,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/94b4f7f87ce3acfe/tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,OD,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/94b4f7f87ce3acfe/tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,OD,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/94b4f7f87ce3acfe/tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,OD,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/94b4f7f87ce3acfe/tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,OD,com.alibaba.json.bvt.serializer.date.DateTest4_indian.test_date,com.alibaba.json.bvt.date.DateTest,flags,8,FAIL,FAIL,ALWAYS_FAIL,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/f501710c28a95298/com.alibaba.json.bvt.serializer.date.DateTest4_indian.test_date,
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,OD,com.alibaba.json.bvt.serializer.date.DateTest5_iso8601.test_date,com.alibaba.json.bvt.date.DateTest,flags,8,FAIL,FAIL,ALWAYS_FAIL,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/f501710c28a95298/com.alibaba.json.bvt.serializer.date.DateTest5_iso8601.test_date,
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,OD,com.alibaba.json.bvt.serializer.JSONSerializerTest2.test_0,com.alibaba.json.bvt.serializer.JSONSerializerTest2.test_3,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/f501710c28a95298/com.alibaba.json.bvt.serializer.JSONSerializerTest2.test_0,
https://github.com/alibaba/nacos,525672272ecb00cd769a13c7b21a8e51cf873f25,api,OD-Vic,com.alibaba.nacos.api.naming.pojo.healthcheck.HealthCheckerFactoryTest.testDeserializeExtend,HealthCheckerFactoryTest.testSerializeExtend,flags,8,PASS,FAIL,BRITTLE,REPRODUCED,no,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9467399557f5c181/com.alibaba.nacos.api.naming.pojo.healthcheck.HealthCheckerFactoryTest.testDeserializeExtend,
https://github.com/alibaba/Sentinel,7e2fa454fa0546c04142a268454faabac79370d0,sentinel-core,OD,com.alibaba.csp.sentinel.config.SentinelConfigTest.testDefaultConfig,com.alibaba.csp.sentinel.config.SentinelConfigTest.testColdFactoryLargerThanOne,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/634ea85eefb36668/com.alibaba.csp.sentinel.config.SentinelConfigTest.testDefaultConfig,
https://github.com/alibaba/Sentinel,7e2fa454fa0546c04142a268454faabac79370d0,sentinel-core,OD,com.alibaba.csp.sentinel.TracerTest.setExceptionsToIgnore,com.alibaba.csp.sentinel.TracerTest.setExceptionPredicate,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/634ea85eefb36668/com.alibaba.csp.sentinel.TracerTest.setExceptionsToIgnore,
https://github.com/alibaba/Sentinel,7e2fa454fa0546c04142a268454faabac79370d0,sentinel-core,OD,com.alibaba.csp.sentinel.TracerTest.setExceptionsToTrace,com.alibaba.csp.sentinel.TracerTest.setExceptionPredicate,flags,8,PASS,PASS,NO_DEP,NOT_REPRODUCED,,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/634ea85eefb36668/com.alibaba.csp.sentinel.TracerTest.setExceptionsToTrace,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.bigIntAsAttachmentMaxSize,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.bigIntAsAttachmentMaxSize,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.byteAsAttachmentMaxSize,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.byteAsAttachmentMaxSize,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.fileAsAttachmentDirectory,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.fileAsAttachmentDirectory,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.integerAsAttachmentMaxSize,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.integerAsAttachmentMaxSize,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.longAsAttachmentMaxSize,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.longAsAttachmentMaxSize,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,OD-Vic,org.apache.cxf.attachment.AttachmentUtilTest.numberStringAsAttachmentMaxSize,CachedOutputStreamTest.testUseSysPropsWithAttachmentDeserializer,flags,8,FAIL,PASS,VICTIM,REPRODUCED,yes,/home/srafi/after-cam-ready/od_try/compilation_try_again/od_verify_logs/9128646c022f28c6/org.apache.cxf.attachment.AttachmentUtilTest.numberStringAsAttachmentMaxSize,
