Issue Key,Title,Link,Labels,Project ID,Status,Description Filename,Resolution,Comments Filename
JAMES-850,RemoteDeliveryTest intermitant failure,https://issues.apache.org/jira/browse/JAMES-850,,10411,Closed,intermit_apache_jira_description_comments/JAMES-850_description.txt,Fixed,intermit_apache_jira_description_comments/JAMES-850_comments.txt
SLING-3938,The forward and reverse replication tests fail intermitently,https://issues.apache.org/jira/browse/SLING-3938,,12310710,Closed,intermit_apache_jira_description_comments/SLING-3938_description.txt,Won't Fix,intermit_apache_jira_description_comments/SLING-3938_comments.txt
REEF-1302,BroadcastReduceTest fail intermitently,https://issues.apache.org/jira/browse/REEF-1302,,12315820,Resolved,intermit_apache_jira_description_comments/REEF-1302_description.txt,Fixed,intermit_apache_jira_description_comments/REEF-1302_comments.txt
CAMEL-16886,NewCommentsConsumerTest#singleIssueCommentsTest fails intermitently ,https://issues.apache.org/jira/browse/CAMEL-16886,,12311211,Resolved,intermit_apache_jira_description_comments/CAMEL-16886_description.txt,Fixed,intermit_apache_jira_description_comments/CAMEL-16886_comments.txt
SLING-2969,IT failure: ClassloadingTest.testSimpleClassloading fails intermitently,https://issues.apache.org/jira/browse/SLING-2969,sling-IT,12310710,Resolved,intermit_apache_jira_description_comments/SLING-2969_description.txt,Fixed,intermit_apache_jira_description_comments/SLING-2969_comments.txt
LUCENE-2808,Intermitted failure on DocValues branch,https://issues.apache.org/jira/browse/LUCENE-2808,,12310110,Resolved,intermit_apache_jira_description_comments/LUCENE-2808_description.txt,Fixed,intermit_apache_jira_description_comments/LUCENE-2808_comments.txt
TUSCANY-3718,tribes tests failing intermitently,https://issues.apache.org/jira/browse/TUSCANY-3718,,12310210,Open,intermit_apache_jira_description_comments/TUSCANY-3718_description.txt,,intermit_apache_jira_description_comments/TUSCANY-3718_comments.txt
SLING-2959,ErrorHandlingTest intermitent failures in setUp,https://issues.apache.org/jira/browse/SLING-2959,,12310710,Resolved,intermit_apache_jira_description_comments/SLING-2959_description.txt,Fixed,intermit_apache_jira_description_comments/SLING-2959_comments.txt
SLIDER-238,Intermitent failure due to java.util.concurrent.ExecutionException,https://issues.apache.org/jira/browse/SLIDER-238,,12315422,Resolved,intermit_apache_jira_description_comments/SLIDER-238_description.txt,Cannot Reproduce,intermit_apache_jira_description_comments/SLIDER-238_comments.txt
AXIS2-617,Intermitent failure in org.apache.axis2.saaj.integration.IntegrationTest on Windows,https://issues.apache.org/jira/browse/AXIS2-617,,10611,Resolved,intermit_apache_jira_description_comments/AXIS2-617_description.txt,Fixed,intermit_apache_jira_description_comments/AXIS2-617_comments.txt
