Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Description Filename,Resolution,Comments Filename
CLOUD-3689,Flaky test: TestRepositoryManager.testDeletePath(),https://jira.atlassian.com/browse/CLOUD-3689,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3689_description.txt,Fixed,jira_description_comments/CLOUD-3689_comments.txt
CLOUD-3690,Flaky test: TestStreams.testFeedAvailable(),https://jira.atlassian.com/browse/CLOUD-3690,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3690_description.txt,Fixed,jira_description_comments/CLOUD-3690_comments.txt
CLOUD-4885,Flaky Test - TestHiddenGroupUserManagement.testMagicGroupInvisibleToConfUserAdmin,https://jira.atlassian.com/browse/CLOUD-4885,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4885_description.txt,Cannot Reproduce,jira_description_comments/CLOUD-4885_comments.txt
CLOUD-3695,Flaky test: TestFisheyeNavbar.testLinksHiddenWhenNotLoggedIn,https://jira.atlassian.com/browse/CLOUD-3695,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3695_description.txt,Obsolete,jira_description_comments/CLOUD-3695_comments.txt
CONFCLOUD-75047,Flaky Test - RecentSpaceKeysGraphQLAcceptanceTest testGetRecentSpaceKeys,https://jira.atlassian.com/browse/CONFCLOUD-75047,,18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-75047_description.txt,Invalid,jira_description_comments/CONFCLOUD-75047_comments.txt
CLOUD-2629,Flaky test: TestPermissionChecking.testRepositoryPermissionAnonAccess,https://jira.atlassian.com/browse/CLOUD-2629,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-2629_description.txt,Fixed,jira_description_comments/CLOUD-2629_comments.txt
CLOUD-2848,Flaky test: ConflictNotificationTest.testEmailConflictNotification,https://jira.atlassian.com/browse/CLOUD-2848,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-2848_description.txt,Fixed,jira_description_comments/CLOUD-2848_comments.txt
CLOUD-3485,Flaky test: TestBulkEditAccessLevel.upgradeCollaboratorsToDevelopers,https://jira.atlassian.com/browse/CLOUD-3485,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3485_description.txt,Cannot Reproduce,jira_description_comments/CLOUD-3485_comments.txt
CLOUD-4087,Flaky test: ReprovisionTest,https://jira.atlassian.com/browse/CLOUD-4087,flaky_test,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4087_description.txt,Obsolete,jira_description_comments/CLOUD-4087_comments.txt
CLOUD-3757,Flaky test: TestEditProjectLinks.setUpProject,https://jira.atlassian.com/browse/CLOUD-3757,"flaky_test, subversion",14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3757_description.txt,Obsolete,jira_description_comments/CLOUD-3757_comments.txt
