abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
